training_batch,network_backbone,num_epochs,augmentation,flipH,flipV,blur,reduce_lr_factor,reduce_lr_patience,reduce_lr_min_lr,earlystop_patience,best_model_1,eval_1,best_model_2,eval_2,best_model_3,eval_3
template,resnet50,1,True,0.5,0.5,3.0,0.3,10,0.0,30,template/tomato_models/mask_rcnn_model.001-0.845205.h5,0.000595,template/tomato_models/mask_rcnn_model.001-1.436726.h5,0.0,0,0
final_batch_1,resnet101,20,True,0.5,0.5,3.0,0.3,10,0.0,30,final_batch_1/tomato_models/mask_rcnn_model.012-0.218099.h5,0.991429,0,0.0,0,0
